id,name,age,job,balance,housing,loan,y
1,John,28,Artist,3773,yes,no,no
2,Jane,35,Teacher,2727,no,yes,no
3,Emma,55,Manager,1403,no,no,no
4,Alice,55,Artist,1903,yes,no,yes
5,Jane,47,Teacher,786,no,yes,yes
6,Jane,35,Manager,1907,yes,yes,yes
7,Emma,57,Lawyer,3530,no,no,no
8,Sophia,25,Scientist,1342,no,yes,yes
9,Alice,46,Scientist,2605,yes,no,no
10,Alice,25,Programmer,3081,yes,no,no
11,Alice,25,Programmer,938,yes,yes,yes
12,Alice,34,Doctor,1641,no,yes,yes
13,Jane,30,Teacher,4498,yes,no,no
14,Alice,38,Engineer,926,yes,no,yes
15,Sophia,41,Programmer,2362,yes,yes,no
16,John,51,Scientist,3861,no,yes,no
17,Sophia,26,Engineer,4496,no,no,yes
18,Sophia,25,Scientist,4850,no,no,yes
19,Alice,58,Analyst,4296,no,yes,yes
20,Alice,38,Programmer,2678,no,yes,no
21,John,54,Artist,1742,yes,yes,yes
22,Olivia,38,Engineer,782,yes,no,no
23,Jane,36,Doctor,4458,no,yes,no
24,Doe,44,Doctor,969,no,no,no
25,Jane,32,Engineer,950,no,yes,no
26,John,52,Artist,1826,yes,no,no
27,Doe,25,Nurse,3899,yes,no,yes
28,John,59,Engineer,1457,yes,yes,no
29,Jane,27,Doctor,3090,yes,yes,no
30,Charlie,41,Engineer,3181,no,yes,yes
31,Emma,23,Doctor,4839,no,yes,no
32,Doe,34,Engineer,4500,yes,no,yes
33,John,40,Doctor,1617,yes,no,yes
34,Alice,44,Engineer,2752,no,yes,no
35,Jane,24,Teacher,4684,no,yes,yes
36,Jane,56,Nurse,1821,yes,no,yes
37,John,40,Programmer,2053,no,yes,yes
38,Doe,43,Scientist,663,no,no,no
39,Charlie,45,Teacher,4890,no,yes,yes
40,Doe,57,Analyst,4237,yes,no,no
41,Charlie,33,Teacher,4970,no,yes,no
42,Doe,46,Analyst,2130,no,yes,no
43,Jane,46,Engineer,1620,no,yes,yes
44,John,51,Scientist,4084,yes,yes,no
45,Emma,32,Manager,3585,no,no,no
46,Liam,54,Doctor,1077,yes,no,yes
47,Liam,36,Scientist,2514,yes,no,yes
48,John,40,Lawyer,1627,yes,no,yes
49,Liam,49,Programmer,930,no,no,no
50,Olivia,39,Doctor,1541,yes,yes,yes
51,Sophia,26,Analyst,3417,no,no,no
52,Olivia,51,Scientist,2845,no,yes,no
53,Sophia,22,Manager,2072,no,yes,no
54,John,22,Artist,3353,yes,yes,no
55,Olivia,39,Programmer,4636,yes,no,no
56,Charlie,53,Analyst,2235,yes,no,no
57,Sophia,51,Analyst,3845,no,no,no
58,Alice,41,Artist,4113,no,yes,yes
59,Liam,51,Artist,2243,yes,yes,yes
60,Doe,33,Analyst,2531,yes,yes,yes
61,Liam,23,Artist,1791,no,yes,no
62,Alice,28,Lawyer,2242,no,no,no
63,Liam,57,Artist,3028,no,yes,no
64,John,23,Nurse,4026,yes,no,no
65,Bob,35,Teacher,2997,yes,yes,no
66,Sophia,59,Doctor,2682,yes,yes,yes
67,Alice,60,Manager,3172,yes,yes,yes
68,John,57,Teacher,1255,no,yes,no
69,Olivia,44,Manager,3333,no,yes,no
70,Doe,44,Programmer,4813,yes,yes,yes
71,Emma,53,Engineer,539,yes,yes,no
72,John,37,Teacher,1176,no,no,yes
73,John,39,Nurse,842,yes,no,yes
74,Sophia,30,Teacher,2919,no,no,no
75,John,28,Scientist,2109,yes,no,yes
76,Liam,42,Analyst,3737,yes,no,no
77,Alice,52,Nurse,959,no,no,no
78,John,49,Scientist,3172,yes,no,yes
79,Charlie,51,Programmer,4300,no,no,no
80,Doe,28,Analyst,3638,yes,no,no
81,Sophia,48,Programmer,2749,yes,no,no
82,Sophia,26,Artist,4028,yes,yes,yes
83,Emma,53,Lawyer,904,yes,yes,yes
84,Olivia,45,Manager,2176,no,no,yes
85,Emma,22,Nurse,4801,yes,no,no
86,Sophia,57,Programmer,1792,yes,yes,yes
87,Jane,25,Nurse,4324,yes,no,yes
88,Doe,25,Engineer,3023,no,no,yes
89,Jane,60,Lawyer,3916,no,no,no
90,Doe,32,Nurse,3198,no,no,no
91,Liam,22,Manager,1740,no,yes,no
92,Liam,29,Artist,1077,yes,yes,yes
93,Emma,31,Doctor,2151,no,no,yes
94,Sophia,59,Analyst,1724,no,yes,no
95,Emma,25,Manager,1086,no,no,no
96,Alice,54,Programmer,3210,yes,yes,yes
97,Doe,26,Scientist,3026,yes,yes,yes
98,Sophia,44,Doctor,1042,yes,no,yes
99,Doe,37,Scientist,971,yes,no,no
100,Doe,46,Teacher,2349,yes,no,yes
101,Doe,25,Teacher,4377,no,no,no
102,Doe,41,Engineer,2016,yes,yes,no
103,Doe,50,Scientist,1186,no,yes,no
104,Charlie,53,Lawyer,4297,no,yes,no
105,John,52,Teacher,669,yes,no,no
106,Alice,49,Analyst,4703,no,yes,no
107,Charlie,45,Scientist,4376,yes,no,no
108,John,29,Lawyer,1858,yes,no,no
109,Bob,56,Artist,4207,yes,yes,yes
110,Doe,52,Teacher,1523,no,yes,yes
111,John,45,Teacher,1742,no,no,yes
112,Jane,54,Analyst,4263,yes,yes,yes
113,Doe,58,Manager,3675,yes,yes,no
114,Liam,40,Artist,1186,yes,yes,no
115,Alice,33,Scientist,4244,yes,no,yes
116,Charlie,22,Lawyer,1741,yes,yes,yes
117,Doe,35,Programmer,707,yes,no,no
118,Liam,37,Scientist,4437,yes,yes,no
119,Emma,31,Nurse,1188,no,yes,no
120,Doe,58,Analyst,1057,yes,no,yes
121,Sophia,34,Scientist,4275,no,yes,yes
122,Olivia,53,Doctor,2360,no,no,yes
123,Alice,24,Scientist,3360,yes,no,yes
124,Jane,60,Scientist,1132,no,no,yes
125,Olivia,45,Nurse,1123,yes,yes,yes
126,John,40,Manager,2465,yes,no,no
127,Charlie,35,Doctor,1400,yes,yes,yes
128,John,46,Lawyer,1192,no,yes,yes
129,Charlie,27,Doctor,1920,yes,no,yes
130,Sophia,47,Artist,1134,yes,no,yes
131,Charlie,34,Nurse,886,no,no,no
132,John,41,Manager,1715,no,no,no
133,Doe,22,Doctor,4717,yes,no,no
134,Jane,54,Analyst,1986,yes,yes,no
135,John,54,Doctor,3769,no,no,yes
136,John,43,Lawyer,4866,yes,no,no
137,Olivia,37,Programmer,668,yes,no,yes
138,Sophia,34,Lawyer,978,no,yes,no
139,Liam,36,Artist,2220,no,yes,no
140,Sophia,51,Doctor,4472,no,yes,yes
141,Charlie,52,Teacher,3724,yes,no,yes
142,Jane,35,Doctor,3297,yes,no,yes
143,Emma,56,Artist,963,yes,no,no
144,Sophia,50,Programmer,2581,yes,yes,yes
145,Bob,34,Scientist,3911,yes,yes,yes
146,Bob,26,Doctor,623,yes,yes,yes
147,Olivia,53,Teacher,2155,no,no,no
148,John,37,Scientist,597,no,yes,yes
149,Charlie,57,Analyst,3611,yes,no,yes
150,Bob,39,Teacher,1099,yes,no,yes
151,Olivia,51,Analyst,985,no,no,no
152,Doe,45,Nurse,2097,no,yes,no
153,Liam,55,Nurse,3654,no,yes,no
154,Doe,47,Artist,1556,no,no,no
155,John,33,Artist,4200,no,yes,yes
156,Bob,46,Engineer,3841,no,no,no
157,Olivia,34,Doctor,3687,yes,yes,yes
158,Charlie,48,Engineer,1783,yes,no,no
159,Bob,23,Teacher,2387,yes,yes,no
160,Olivia,60,Doctor,4223,no,yes,yes
161,Jane,36,Teacher,3482,no,yes,yes
162,Doe,35,Programmer,2024,no,yes,yes
163,Olivia,37,Teacher,3877,yes,no,yes
164,John,51,Manager,2224,yes,yes,yes
165,Emma,27,Engineer,2441,yes,yes,yes
166,Jane,38,Artist,4433,no,no,yes
167,John,36,Doctor,1319,no,yes,yes
168,Bob,27,Nurse,2539,yes,no,yes
169,Sophia,29,Artist,1332,no,no,yes
170,Olivia,56,Teacher,2948,no,no,no
171,Olivia,55,Programmer,862,no,yes,yes
172,John,49,Artist,4056,yes,yes,no
173,Doe,58,Analyst,2719,yes,yes,yes
174,Jane,60,Nurse,4286,no,yes,no
175,Sophia,36,Artist,2066,yes,no,no
176,Sophia,37,Scientist,4452,yes,no,yes
177,Emma,37,Teacher,3114,no,yes,no
178,Jane,29,Lawyer,3585,yes,yes,no
179,Liam,48,Engineer,1630,no,yes,no
180,Sophia,51,Analyst,1293,no,yes,no
181,Charlie,25,Analyst,4519,yes,no,no
182,Emma,31,Programmer,1022,no,yes,yes
183,John,51,Nurse,855,yes,yes,yes
184,Doe,42,Analyst,2326,no,yes,no
185,Olivia,57,Manager,4756,yes,yes,no
186,Charlie,32,Teacher,1071,yes,no,no
187,Liam,45,Nurse,3390,no,no,yes
188,John,59,Engineer,673,no,no,yes
189,Alice,56,Doctor,2388,yes,no,yes
190,Bob,27,Scientist,4797,yes,no,yes
191,Olivia,53,Artist,4583,no,yes,no
192,Liam,30,Teacher,2889,no,yes,yes
193,Doe,58,Analyst,3672,no,no,yes
194,Bob,52,Manager,1813,yes,yes,yes
195,John,57,Engineer,3516,no,yes,yes
196,Alice,49,Doctor,1009,no,yes,yes
197,Liam,28,Engineer,3229,yes,no,no
198,Doe,46,Teacher,1623,no,yes,yes
199,Emma,24,Manager,1817,yes,yes,yes
200,John,36,Teacher,3176,yes,no,no
201,Emma,25,Scientist,525,yes,yes,no
202,Doe,28,Doctor,893,yes,yes,no
203,Doe,23,Engineer,653,no,no,no
204,Emma,30,Engineer,2506,no,no,no
205,Alice,45,Doctor,3668,yes,yes,no
206,Olivia,50,Teacher,4112,no,yes,no
207,Sophia,55,Scientist,1555,yes,yes,no
208,Charlie,53,Engineer,1192,yes,no,no
